,municipio,Cod_mun,departamento,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
229,San Lorenzo,1229,San Marcos,11539.1622,11752.2758,11973.1908,12197.5148,12420.9536,12639.295,12855.3077,13071.7046,13284.333,13489.1278,13682.1336
230,San Lucas Sacatepéquez,308,Sacatepéquez,23996.623,24595.1382,25198.2263,25803.7815,26409.7223,27013.9434,27617.4908,28221.4097,28823.5794,29421.8675,30014.0821
231,San Lucas Tolimán,713,Sololá,28661.54,29423.0292,30188.9803,30955.973,31720.6397,32479.6693,33234.3753,33986.0413,34731.3792,35467.1765,36190.2603
232,San Luis,1709,Petén,72791.5083,75005.2481,77150.5215,79233.7945,81261.2368,83238.9302,85163.3318,87030.9731,88847.865,90619.767,92352.26
233,San Luis Jilotepeque,2103,Jalapa,24373.2962,24845.1175,25335.6143,25839.9485,26353.412,26871.4511,27396.5589,27931.1644,28470.764,29011.0404,29547.7828
234,San Manuel Chaparrón,2104,Jalapa,8395.0994,8548.68201,8708.35317,8872.42987,9039.28758,9207.35507,9377.4884,9550.49295,9724.8359,9899.0358,10071.6577
235,San Marcos,1201,San Marcos,48918.6791,50436.9038,52019.0392,53647.5359,55304.3369,56970.8789,58659.5393,60382.9558,62122.3271,63858.382,65571.305
236,San Marcos La Laguna,716,Sololá,3891.07393,4100.88473,4319.75254,4547.52638,4784.02022,5029.01408,5282.98082,5546.41618,5819.07836,6100.69063,6390.93547
237,San Martín Jilotepeque,403,Chimaltenango,72981.991,74531.8979,76099.3256,77673.9952,79250.9952,80822.6702,82389.0947,83955.7808,85514.7264,87058.374,88579.304
238,San Martín Sacatepéquez,912,Quetzaltenango,25213.3407,25737.007,26272.628,26814.3942,27356.5393,27893.3338,28428.1983,28964.5133,29496.5799,30018.7456,30525.4291
239,San Martín Zapotitlán,1104,Retalhuleu,10839.1636,11173.6597,11520.2391,11876.6803,12240.6478,12609.7553,12985.6864,13370.1587,13760.7513,14154.9494,14550.1712
240,San Mateo,910,Quetzaltenango,9145.1209,9724.6823,10341.391,10995.165,11685.6546,12412.253,13178.2538,13987.2665,14838.7186,15731.693,16664.9141
241,San Mateo Ixtatán,1318,Huehuetenango,38048.5623,38887.7604,39734.6151,40577.2721,41404.1103,42203.7042,42983.4163,43750.474,44493.5899,45201.7087,45864.0278
242,San Miguel Acatán,1313,Huehuetenango,24939.3699,25233.2623,25523.6479,25802.982,26064.1631,26300.5095,26517.2078,26719.1575,26899.9148,27053.3839,27173.9072
243,San Miguel Chicaj,1502,Baja Verapaz,27122.2678,27650.7855,28206.9227,28783.2377,29372.4212,29967.3214,30572.0065,31190.4444,31815.5455,32440.355,33058.0821
244,San Miguel Dueñas,313,Sacatepéquez,10905.281,11100.099,11293.7582,11485.303,11673.8421,11858.4773,12039.7018,12218.031,12392.5615,12562.4479,12726.8233
245,San Miguel Ixtahuacán,1205,San Marcos,35276.4918,35932.5748,36612.6854,37303.393,37991.5554,38664.3023,39330.1034,39997.2589,40653.0245,41285.0025,41881.0564
246,San Miguel Panán,1011,Suchitepéquez,8244.1637,8373.3345,8506.0944,8640.7466,8775.6799,8909.3081,9042.5701,9176.3601,9309.1187,9439.3667,9565.6577
247,San Miguel Siguilá,908,Quetzaltenango,9143.1197,9466.0996,9800.8863,10145.6274,10498.3469,10856.9804,11222.9412,11597.7221,11979.1722,12365.074,12753.0745
248,San Pablo,1219,San Marcos,49693.6936,51286.5268,52947.5112,54658.9466,56402.5908,58159.5801,59942.5519,61764.5429,63606.4297,65448.467,67270.35
249,San Pablo Jocopilas,1009,Suchitepéquez,19275.3828,19647.8324,20031.1453,20421.4589,20814.9694,21207.9563,21602.6106,22001.094,22399.7025,22794.8229,23182.896
250,San Pablo La Laguna,715,Sololá,7165.1369,7315.03255,7464.16005,7611.68621,7756.79343,7898.70007,8037.76746,8174.33621,8307.64343,8436.9643,8561.6087
251,San Pedro Ayampuc,107,Guatemala,67728.167,70205.12,72712.814,75250.837,77818.742,80416.045,83041.332,85693.103,88370.753,91073.717,93801.376
252,San Pedro Carchá,1609,Alta Verapaz,207755.243,214372.086,221172.329,228128.359,235212.536,242397.354,249699.559,257135.868,264678.623,272299.983,279971.822
253,San Pedro Jocopilas,1409,Quiché,27711.3763,28367.3933,29034.8063,29710.1654,30390.134,31071.5161,31755.417,32442.8699,33130.7567,33816.0662,34495.8922
254,San Pedro La Laguna,718,Sololá,10984.2029,11172.3967,11357.885,11539.4059,11715.7699,11885.8486,12050.2495,12209.5383,12362.6248,12508.4928,12646.1993
255,San Pedro Necta,1306,Huehuetenango,32430.478,33087.903,33749.4471,34405.0181,35044.8125,35659.2323,36254.6405,36837.213,37397.5144,37926.3827,38414.9193
256,San Pedro Pinula,2102,Jalapa,56628.6903,58343.8609,60133.643,61988.2786,63897.9111,65852.603,67859.3725,69925.3548,72040.497,74194.673,76377.638
257,San Pedro Sacatepéquez,109,Guatemala,40059.1038,40966.6759,41860.3776,42739.9093,43605.0302,44455.4802,45290.4954,46109.3375,46911.7672,47697.584,48466.621
258,San Pedro Sacatepéquez,1202,San Marcos,67074.937,68136.0264,69236.2659,70349.9634,71452.3025,72519.1982,73566.7193,74610.5332,75626.9076,76593.049,77486.876
259,San Rafael la Independencia,1314,Huehuetenango,11824.1754,11910.0427,11993.2552,12070.3176,12137.9997,12193.3192,12238.8309,12276.9297,12304.7309,12319.6231,12319.1918
260,San Rafael Las Flores,605,Santa Rosa,12137.2356,12565.4418,13020.9064,13500.7918,14002.0137,14521.2583,15061.7405,15626.8459,16213.174,16817.0586,17434.5707
261,San Rafael Petzal,1328,Huehuetenango,8190.1209,8375.5051,8562.7414,8749.28,8932.62454,9110.2835,9283.85333,9454.87756,9620.92018,9779.57,9928.4828
262,San Rafael Pie de La Cuesta,1211,San Marcos,15207.2185,15456.9701,15715.9163,15978.2149,16238.24,16490.506,16738.6621,16986.2593,17227.899,17458.3736,17672.6164
263,San Raymundo,111,Guatemala,28756.0745,29407.4931,30048.9547,30680.2526,31301.1887,31911.5849,32510.923,33098.6272,33674.5472,34238.5421,34790.4882
264,San Sebastián,1102,Retalhuleu,27139.4142,27788.779,28458.0468,29141.2219,29832.2847,30525.18,31223.8034,31932.059,32643.8832,33353.2017,34053.8938
265,San Sebastián Coatán,1325,Huehuetenango,23462.3485,24041.1956,24627.5962,25214.2421,25793.8677,26359.2821,26914.9643,27465.3808,28003.3707,28521.8509,29013.8129
266,San Sebastián Huehuetenango,1320,Huehuetenango,27792.4065,28497.8728,29213.2549,29929.9062,30639.2044,31332.5713,32015.3153,32692.7231,33356.2599,33997.4401,34607.8794
267,San Vicente Pacaya,512,Escuintla,16314.1411,16687.3271,17059.711,17429.5131,17794.9772,18154.3357,18508.6036,18858.8262,19203.2298,19540.0575,19867.5583
268,Sanarate,207,El Progreso,37114.7187,37734.9841,38395.0554,39084.4964,39792.7483,40509.2677,41241.0735,41995.2652,42761.2466,43528.4168,44286.1453
269,Sansare,206,El Progreso,11482.2222,11619.1935,11766.8161,11921.7478,12080.6835,12240.3463,12402.8471,12570.2428,12739.3006,12906.8419,13069.7421
270,Santa Ana,1707,Petén,29264.2216,30831.0202,32424.6556,34047.6607,35702.6757,37392.477,39115.6428,40870.691,42660.4416,44487.8765,46356.0636
271,Santa Ana Huista,1331,Huehuetenango,8890.1299,9041.7816,9193.5161,9342.5795,9486.3415,9622.2608,9752.1175,9877.614,9996.2738,10105.7151,10203.6466
272,Santa Apolonia,405,Chimaltenango,15527.2046,15935.1002,16350.3771,16771.3046,17196.1504,17623.193,18053.2694,18487.1983,18923.2743,19359.7961,19795.0761
273,Santa Bárbara,1310,Huehuetenango,16980.2489,17128.5402,17273.4024,17409.7831,17532.9686,17638.5937,17730.2914,17811.4495,17877.8569,17925.6335,17951.1873
274,Santa Bárbara,1310,Suchitepéquez,22749.4485,23272.5101,23811.9596,24363.3385,24922.2,25484.1474,26051.8241,26627.9018,27207.9358,27787.5462,28362.3633
275,Santa Catalina Ixtahuacán,706,Sololá,48827.927,49538.9533,50234.0832,50907.9094,51555.3168,52171.5476,52759.4602,53321.7209,53853.8115,54351.5066,54810.9579
276,Santa Catarina Barahona,316,Sacatepéquez,3393.08723,3434.19413,3474.36953,3513.33828,3550.70851,3586.62207,3620.86498,3653.73794,3684.998,3714.41096,3741.75458
277,Santa Catarina la Tinta,1616,Alta Verapaz,36519.2273,37548.7156,38602.4537,39675.3491,40762.361,41858.5367,42966.6154,44089.331,45221.7226,46358.8956,47496.0169
278,Santa Catarina Mita,2203,Jutiapa,35103.2574,12784.3796,24129.4479,24284.3449,24450.1091,24617.3447,24791.4073,24977.3513,25166.058,25348.8936,25517.6884
279,Santa Catarina Palopó,711,Sololá,5091.09636,5376.71776,5675.39774,5987.01716,6311.40455,6648.34996,6998.54537,7362.73144,7740.67081,8132.0703,8536.5878
280,Santa Catarina Pinula,102,Guatemala,85290.213,87589.072,89875.953,92149.982,94410.321,96656.119,98885.417,101096.279,103287.871,105459.344,107609.97
281,Santa Clara La Laguna,707,Sololá,9342.181,9604.0566,9868.1208,10133.2663,10398.3783,10662.3794,10925.6864,11188.7254,11450.4084,11709.6573,11965.4252
282,Santa Cruz Balanyá,410,Chimaltenango,7740.1052,7868.90146,7998.21421,8127.14535,8254.83695,8380.45486,8504.42201,8627.12553,8747.76775,8865.5882,8979.8641
283,Santa Cruz Barillas,1326,Huehuetenango,127167.839,133606.075,140331.928,147314.162,154518.025,161905.037,169505.892,177353.92,185408.494,193624.87,201954.057
284,Santa Cruz del Quiché,1401,Quiché,94702.285,98666.289,102781.572,107040.58,111435.351,115957.842,120615.286,125415.406,130349.707,135409.419,140585.377
285,Santa Cruz La Laguna,714,Sololá,6713.13053,7016.4038,7329.55368,7652.00803,7983.1603,8322.35831,8670.0998,9026.9072,9392.0908,9764.9248,10144.6192
286,Santa Cruz Muluá,1103,Retalhuleu,12731.1945,12978.5373,13232.7148,13490.853,13750.0974,14007.6481,14265.2803,14524.7674,14783.3132,15038.1746,15286.634
287,Santa Cruz Naranjo,612,Santa Rosa,12930.2505,13189.5316,13466.5726,13757.5025,14058.3806,14365.2559,14680.762,15007.5277,15341.5913,15678.9424,16015.5687
288,Santa Cruz Verapaz,1602,Alta Verapaz,33138.2085,34950.5205,36857.3724,38858.0679,40951.6091,43136.6737,45419.758,47807.7424,50299.4016,52893.2007,55587.2268
289,Santa Eulalia,1317,Huehuetenango,43710.6441,45276.2577,46885.1532,48524.1452,50179.5986,51837.3639,53505.9323,55194.085,56887.3709,58570.9114,60229.3128
290,Santa Lucía Cotzumalguapa,502,Escuintla,121651.07,125471.428,129340.921,133246.558,137174.87,141111.997,145065.329,149042.771,153030.122,157012.757,160975.488
291,Santa Lucía la Reforma,807,Totonicapán,20519.1423,21391.2703,22296.3859,23231.0144,24191.49,25173.9925,26181.5676,27217.3537,28277.4266,29357.6544,30453.7412
292,Santa Lucia Milpas Altas,309,Sacatepéquez,14138.3608,14589.3101,15048.4432,15514.6162,15986.6643,16463.3502,16945.3551,17433.3666,17926.1451,18422.3635,18920.6622
293,Santa Lucia Utatlán,704,Sololá,23260.4382,23798.8373,24336.9859,24872.1224,25401.5587,25922.6793,26436.612,26944.4287,27443.5646,27931.5474,28405.9962
294,Santa María Chiquimula,806,Totonicapán,46003.3118,47251.8528,48525.3949,49814.4008,51109.5057,52401.479,53695.6706,54997.3694,56297.3762,57586.6628,58856.377
295,Santa María de Jesús,311,Sacatepéquez,16308.4221,16477.0816,16640.6498,16797.7529,16947.3841,17088.1906,17221.1205,17347.0439,17464.821,17573.3879,17671.7507
296,Santa María Ixhuatán,610,Santa Rosa,20547.3951,20783.5618,21042.0901,21316.3081,21599.7421,21886.0581,22179.0867,22482.5315,22790.1498,23095.8754,23393.8054
297,Santa María Visitación,703,Sololá,2476.04689,2533.30871,2590.54066,2647.45071,2703.75018,2759.16469,2813.8102,2867.80318,2920.86973,2972.74715,3023.18294
298,Santa Rosa de Lima,603,Santa Rosa,17260.3338,17627.3828,18019.0648,18430.2308,18855.7133,19290.2257,19737.3548,20200.6721,20674.9001,21154.6616,21634.5544
299,Santiago Atitlán,719,Sololá,43560.8176,44766.5273,45981.5869,47200.8035,48419.0611,49631.2837,50839.4486,52045.5291,53244.46,54431.2629,55601.0462
300,Santiago Chimaltenanango,1330,Huehuetenango,7011.1031,7130.69678,7250.34477,7367.89648,7481.26131,7588.44419,7690.83954,7789.80273,7883.37269,7969.6696,8046.8929
301,Santiago Sactepéquez,306,Sacatepéquez,28166.7225,28810.4135,29456.6964,30103.1107,30747.2134,31386.5616,32022.397,32655.9496,33284.7681,33906.4016,34518.3794
302,Santo Domingo Suchitepéquez,1006,Suchitepéquez,35302.6946,35686.691,36081.464,36479.7487,36874.6182,37259.5146,37638.4247,38015.0998,38383.1759,38736.6001,39069.6729
303,Santo Domingo Xenacoj,305,Sacatepéquez,9915.2563,10118.6536,10321.9773,10524.3596,10724.9625,10922.9382,11118.7309,11312.772,11504.2432,11692.2948,11876.1094
304,Santo Tomás la Unión,1017,Suchitepéquez,11668.2311,11935.3964,12210.917,12492.5048,12777.8772,13064.777,13354.5658,13648.5994,13944.6115,14240.3472,14533.5693
305,Sayaxché,1710,Petén,104521.775,109627.582,114780.751,119989.403,125261.725,130606.216,136016.61,141486.637,147024.874,152640.182,158341.903
306,Senahú,1608,Alta Verapaz,65123.3906,66157.9339,67200.567,68241.725,69272.3626,70283.9247,71281.1201,72268.3163,73237.412,74180.582,75090.591
307,Sibilia,905,Quetzaltenango,7986.1068,8017.8585,8050.0661,8080.8974,8108.6471,8131.735,8151.3178,8168.4632,8181.6575,8189.5108,8190.7338
308,Sibinal,1208,San Marcos,15706.2208,15990.8231,16285.8285,16585.277,16883.3044,17174.1972,17461.7459,17749.6015,18032.1432,18303.8636,18559.4053
309,Sipacapa,1226,San Marcos,17554.2512,17967.3545,18396.13,18833.9866,19274.3666,19710.7118,20147.2729,20588.2993,21027.2366,21457.5734,21872.8253
310,Sipacate,514,Escuintla,0,0,0,0,0,10101.0016,10287.9972,10480.0027,10669.9989,10855.9983,11038
311,Siquinalá,504,Escuintla,21567.1936,22300.8391,23046.8169,23802.8911,24566.7109,25335.8167,26111.5928,26895.4892,27684.9793,28477.4381,29270.1061
312,Sololá,701,Sololá,107646.011,113078.19,118722.467,124572.361,130620.781,136859.518,143299.196,149951.128,156806.503,163855.726,171088.072
313,Soloma,1308,Huehuetenango,47685.6991,48977.2536,50290.0436,51609.2395,52919.9714,54207.3415,55480.4513,56748.3667,57996.2134,59209.1225,60372.2617
314,Sumpango,304,Sacatepéquez,35937.9244,36774.7917,37615.66,38457.3993,39296.9046,40131.0217,40961.3608,41789.4648,42612.2063,43426.4267,44228.9538
315,Tacaná,1207,San Marcos,74241.05,75597.6797,77003.9339,78431.6263,79853.0347,81241.1088,82613.7395,83988.309,85338.0892,86637.065,87859.85
316,Tactic,1604,Alta Verapaz,33255.2016,34203.136,35173.7297,36162.3787,37164.5004,38175.5872,39198.1584,40234.6996,41280.7058,42331.7079,43383.301
317,Tajumulco,1209,San Marcos,53790.7562,55277.3425,56823.364,58409.0736,60014.4144,61619.0865,63236.3555,64879.6514,66528.5096,68162.223,69759.857
318,Tamahú,1605,Alta Verapaz,18650.1113,19337.3587,20047.4451,20778.1511,21527.2093,22292.2779,23075.1075,23877.4576,24696.9769,25531.2331,26377.7607
319,Taxisco,609,Santa Rosa,22948.4483,23038.9851,23151.4892,23278.188,23411.6802,23544.9917,23682.172,23827.0278,23972.8019,24113.0939,24241.8764
320,Tecpán Guatemala,406,Chimaltenango,81091.103,83502.3912,85967.936,88479.02,91026.759,93602.398,96210.549,98855.9,101529.51,104222.458,106925.72
321,Tectitán,1321,Huehuetenango,8019.1184,8093.99436,8167.33298,8236.74707,8299.99257,8354.99598,8403.45569,8446.9779,8483.54578,8511.3084,8528.5477
322,Teculután,1905,Zacapa,16673.4067,17002.8505,17359.6852,17737.6474,18130.3481,18531.2294,18944.8445,19375.834,19817.5872,20263.3435,20706.2166
323,Tejutla,1210,San Marcos,32123.4505,32644.0106,33183.7243,33730.3111,34271.8453,34796.7783,35312.8158,35827.4491,36329.2915,36807.3733,37251.0372
324,Tiquizate,506,Escuintla,55469.498,56519.6315,57558.1342,58579.1387,59576.8941,60545.7052,61489.2739,62411.2553,63306.0528,64168.13,64992.095
325,Todos Santos Cuchumatán,1315,Huehuetenango,33619.4979,34410.552,35210.5839,36009.1521,36795.8729,37560.5497,38309.6165,39049.4938,39770.0178,40461.2138,41113.2422
326,Totonicapán,801,Totonicapán,127189.878,130744.27,134373.367,138050.999,141751.197,145448.398,149157.524,152893.222,156629.953,160342.603,164006.472
327,Tucurú,1606,Alta Verapaz,39055.2471,40223.2337,41421.0284,42643.2949,43884.7369,45140.0712,46412.345,47704.5732,49011.4606,50327.7745,51648.2867
328,Unión Cantinil,1332,Huehuetenango,0,17964.0013,18532.9974,19108.9988,19687.0032,20262.0019,20835.9993,21413.9995,21988.0062,22577.0001,23182.0016
329,Uspantán,1415,Quiché,61945.8367,64367.9263,66875.2169,69462.0098,72122.5396,74850.8521,77651.2264,80527.793,83474.532,86485.178,89553.431
330,Usumatlán,1906,Zacapa,10636.2609,10832.2806,11045.2023,11270.9777,11505.4876,11744.5614,11991.0513,12247.8585,12510.7755,12775.5088,13037.7161
331,Villa Canales,116,Guatemala,139449.357,143258.119,147049.911,150823.354,154577.032,158309.446,162017.459,165697.778,169349.092,172969.976,176559.135
332,Villa Nueva,115,Guatemala,501395.25,514334.522,527174.222,539908.98,552534.57,564685.98,576363.04,587563.13,598294.94,608570.01,618396.97
333,Yepocapa,412,Chimaltenango,30521.4116,31296.8407,32085.4414,32883.7764,33688.4102,34495.9702,35308.0869,36126.3475,36947.3876,37767.8854,38584.5705
334,Yupiltepeque,2206,Jutiapa,21832.8486,8382.6016,15659.385,16059.0591,16475.5889,16903.1499,17345.7871,17807.6026,18282.7173,18765.1039,19248.6239
335,Zacapa,1901,Zacapa,67127.636,68338.58,69655.159,71051.741,72502.33,60663.9925,61913.4677,63215.236,64547.485,65888.096,67214.633
336,Zacualpa,1404,Quiché,41336.5616,43832.1929,46471.8706,49257.6624,52191.398,55274.6812,58516.6187,61926.701,65506.9947,69259.1122,73184.4343
337,Zapotitlán,2210,Jutiapa,14115.7305,5252.7915,9986.1433,10205.6701,10434.2395,10668.0695,10909.6473,11161.4543,11419.6905,11680.5375,11940.1608
338,Zaragoza,415,Chimaltenango,23960.3223,24642.5205,25338.9906,26047.1117,26764.2531,27487.776,28219.0198,28959.3234,29706.0383,30456.5206,31208.1427
339,Zuníl,916,Quetzaltenango,12499.1729,12643.9263,12790.8959,12937.1514,13079.9177,13216.533,13348.7251,13478.1439,13602.1889,13718.3802,13824.3733
340,Zunilito,1018,Suchitepéquez,7223.1423,7462.5809,7711.3682,7968.2617,8231.9748,8501.1572,8776.8105,9059.9557,9349.2161,9643.1827,9940.3841
